"writer","label"
"http://dbpedia.org/resource/A._B._Spellman","A. B. Spellman"
"http://dbpedia.org/resource/Adrienne_Kennedy","Adrienne Kennedy"
"http://dbpedia.org/resource/Al_Roker","Al Roker"
"http://dbpedia.org/resource/Al_Young","Al Young"
"http://dbpedia.org/resource/Alaya_Dawn_Johnson","Alaya Dawn Johnson"
"http://dbpedia.org/resource/Albert_Murray_(writer)","Albert Murray (writer)"
"http://dbpedia.org/resource/Alex_Haley","Alex Haley"
"http://dbpedia.org/resource/Alice_Childress","Alice Childress"
"http://dbpedia.org/resource/Alice_Randall","Alice Randall"
"http://dbpedia.org/resource/Alice_Walker","Alice Walker"
"http://dbpedia.org/resource/Amanda_Gorman","Amanda Gorman"
"http://dbpedia.org/resource/Amanda_Smith","Amanda Smith"
"http://dbpedia.org/resource/Amiri_Baraka","Amiri Baraka"
"http://dbpedia.org/resource/Andrea_Lee_(author)","Andrea Lee (author)"
"http://dbpedia.org/resource/Andy_Razaf","Andy Razaf"
"http://dbpedia.org/resource/Angela_Davis","Angela Davis"
"http://dbpedia.org/resource/Angela_Johnson_(writer)","Angela Johnson (writer)"
"http://dbpedia.org/resource/Angie_Thomas","Angie Thomas"
"http://dbpedia.org/resource/Ann_Petry","Ann Petry"
"http://dbpedia.org/resource/Anna_J._Cooper","Anna J. Cooper"
"http://dbpedia.org/resource/Anne_Moody","Anne Moody"
"http://dbpedia.org/resource/Anne_Spencer","Anne Spencer"
"http://dbpedia.org/resource/Antwone_Fisher","Antwone Fisher"
"http://dbpedia.org/resource/Arna_Bontemps","Arna Bontemps"
"http://dbpedia.org/resource/Arthenia_J._Bates_Millican","Arthenia J. Bates Millican"
"http://dbpedia.org/resource/Arturo_Alfonso_Schomburg","Arturo Alfonso Schomburg"
"http://dbpedia.org/resource/Ashley_Bryan","Ashley Bryan"
"http://dbpedia.org/resource/Askia_M._Touré","Askia M. Touré"
"http://dbpedia.org/resource/Attica_Locke","Attica Locke"
"http://dbpedia.org/resource/August_Wilson","August Wilson"
"http://dbpedia.org/resource/Ayize_Jama-Everett","Ayize Jama-Everett"
"http://dbpedia.org/resource/Wendy_Coakley-Thompson","Back to Life (novel)"
"http://dbpedia.org/resource/Barbara_Neely","Barbara Neely"
"http://dbpedia.org/resource/Bayo_Ojikutu","Bayo Ojikutu"
"http://dbpedia.org/resource/Bebe_Moore_Campbell","Bebe Moore Campbell"
"http://dbpedia.org/resource/Bell_hooks","Bell hooks"
"http://dbpedia.org/resource/Ben_Carson","Ben Carson"
"http://dbpedia.org/resource/Bernice_McFadden","Bernice McFadden"
"http://dbpedia.org/resource/Bertice_Berry","Bertice Berry"
"http://dbpedia.org/resource/Bethany_Veney","Bethany Veney"
"http://dbpedia.org/resource/Bettina_L._Love","Bettina L. Love"
"http://dbpedia.org/resource/Beverly_Jenkins","Beverly Jenkins"
"http://dbpedia.org/resource/Bob_Kaufman","Bob Kaufman"
"http://dbpedia.org/resource/Bonnie_Greer","Bonnie Greer"
"http://dbpedia.org/resource/Booker_T._Washington","Booker T. Washington"
"http://dbpedia.org/resource/Brandon_Massey","Brandon Massey"
"http://dbpedia.org/resource/Breena_Clarke","Breena Clarke"
