"p","pLabel","o","oLabel"
"http://dbpedia.org/ontology/birthPlace","birth place","http://dbpedia.org/resource/Lorain,_Ohio","Lorain, Ohio"
"http://dbpedia.org/ontology/award","award","http://dbpedia.org/resource/National_Humanities_Medal","National Humanities Medal"
"http://dbpedia.org/ontology/education","education","http://dbpedia.org/resource/Cornell_University","Cornell University"
"http://dbpedia.org/ontology/education","education","http://dbpedia.org/resource/Howard_University","Howard University"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Pennsylvania_State_University","Pennsylvania State University"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Norman_Mailer_Prize","Norman Mailer Prize"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Ohio_Women's_Hall_of_Fame","Ohio Women's Hall of Fame"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/New_Jersey_Hall_of_Fame","New Jersey Hall of Fame"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Diane_Johnson","Diane Johnson"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Timothy_Greenfield-Sanders","Timothy Greenfield-Sanders"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/American_literature","American literature"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Category:20th-century_African-American_women","20th-century African-American women"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Category:21st-century_African-American_women","21st-century African-American women"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Category:African-American_novelists","African-American novelists"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Category:African-American_women_musicians","African-American women musicians"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Category:African-American_women_writers","African-American women writers"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Category:American_women_children's_writers","American women children's writers"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Category:Bard_College_faculty","Bard College faculty"
"http://dbpedia.org/ontology/wikiPageWikiLink","Link from a Wikipage to another Wikipage","http://dbpedia.org/resource/Category:Catholics_from_Ohio","Catholics from Ohio"
