"p","count"
"http://dbpedia.org/ontology/wikiPageWikiLink",355
"http://dbpedia.org/ontology/description",355
"http://dbpedia.org/ontology/birthPlace",320
"http://dbpedia.org/ontology/wikiPageExternalLink",313
"http://dbpedia.org/ontology/birthDate",292
"http://dbpedia.org/ontology/thumbnail",262
"http://dbpedia.org/ontology/deathDate",169
"http://dbpedia.org/ontology/birthName",160
"http://dbpedia.org/ontology/occupation",158
"http://dbpedia.org/ontology/deathPlace",150
"http://dbpedia.org/ontology/birthYear",130
"http://dbpedia.org/ontology/education",112
"http://dbpedia.org/ontology/deathYear",83
"http://dbpedia.org/ontology/almaMater",83
"http://dbpedia.org/ontology/award",72
"http://dbpedia.org/ontology/activeYearsStartYear",59
"http://dbpedia.org/ontology/genre",58
"http://dbpedia.org/ontology/notableWork",52
"http://dbpedia.org/ontology/spouse",52
"http://dbpedia.org/ontology/activeYearsEndYear",30
"http://dbpedia.org/ontology/relative",22
"http://dbpedia.org/ontology/child",21
"http://dbpedia.org/ontology/pseudonym",18
"http://dbpedia.org/ontology/movement",17
"http://dbpedia.org/ontology/restingPlace",15
"http://dbpedia.org/ontology/alias",14
"http://dbpedia.org/ontology/knownFor",14
"http://dbpedia.org/ontology/nationality",13
"http://dbpedia.org/ontology/party",13
"http://dbpedia.org/ontology/imdbId",11
"http://dbpedia.org/ontology/termPeriod",8
"http://dbpedia.org/ontology/parent",6
"http://dbpedia.org/ontology/relation",5
"http://dbpedia.org/ontology/employer",4
"http://dbpedia.org/ontology/signature",4
"http://dbpedia.org/ontology/language",4
"http://dbpedia.org/ontology/academicDiscipline",4
"http://dbpedia.org/ontology/institution",4
"http://dbpedia.org/ontology/deathCause",3
"http://dbpedia.org/ontology/citizenship",3
"http://dbpedia.org/ontology/stateOfOrigin",3
"http://dbpedia.org/ontology/soundRecording",3
"http://dbpedia.org/ontology/mainInterest",2
"http://dbpedia.org/ontology/philosophicalSchool",2
"http://dbpedia.org/ontology/field",2
"http://dbpedia.org/ontology/era",2
"http://dbpedia.org/ontology/doctoralAdvisor",2
"http://dbpedia.org/ontology/region",2
"http://dbpedia.org/ontology/depictionDescription",1
"http://dbpedia.org/ontology/religion",1
"http://dbpedia.org/ontology/militaryUnit",1
"http://dbpedia.org/ontology/recordLabel",1
"http://dbpedia.org/ontology/instrument",1
"http://dbpedia.org/ontology/associatedBand",1
"http://dbpedia.org/ontology/background",1
"http://dbpedia.org/ontology/partner",1
"http://dbpedia.org/ontology/training",1
"http://dbpedia.org/ontology/militaryBranch",1
"http://dbpedia.org/ontology/convictionPenalty",1
"http://dbpedia.org/ontology/associatedMusicalArtist",1
"http://dbpedia.org/ontology/country",1
"http://dbpedia.org/ontology/militaryService",1
