"p1","eff"
"http://dbpedia.org/ontology/wikiPageWikiLink",35666
"http://dbpedia.org/ontology/wikiPageRedirects",1034
"http://dbpedia.org/ontology/author",590
"http://dbpedia.org/property/author",479
"http://dbpedia.org/property/writer",303
"http://xmlns.com/foaf/0.1/primaryTopic",292
"http://dbpedia.org/ontology/writer",182
"http://dbpedia.org/ontology/wikiPageDisambiguates",150
"http://dbpedia.org/ontology/starring",109
"http://dbpedia.org/ontology/director",92
"http://dbpedia.org/ontology/producer",75
"http://dbpedia.org/property/director",73
"http://dbpedia.org/property/name",72
"http://dbpedia.org/ontology/spouse",54
"http://dbpedia.org/property/spouse",52
"http://dbpedia.org/property/starring",45
"http://dbpedia.org/property/candidate",42
"http://dbpedia.org/ontology/artist",39
"http://dbpedia.org/ontology/executiveProducer",33
"http://dbpedia.org/ontology/creator",27
"http://dbpedia.org/property/creator",25
"http://dbpedia.org/property/relatives",22
"http://dbpedia.org/ontology/child",21
"http://dbpedia.org/ontology/parent",19
"http://dbpedia.org/ontology/relative",19
"http://dbpedia.org/ontology/associatedBand",19
"http://dbpedia.org/ontology/associatedMusicalArtist",19
"http://dbpedia.org/property/narrator",17
"http://dbpedia.org/property/parents",17
"http://dbpedia.org/property/aux",16
"http://dbpedia.org/property/subject",14
"http://dbpedia.org/ontology/knownFor",14
"http://dbpedia.org/ontology/keyPerson",13
"http://dbpedia.org/property/screenplay",12
"http://dbpedia.org/property/producer",12
"http://dbpedia.org/property/predecessor",12
"http://dbpedia.org/ontology/predecessor",12
"http://dbpedia.org/property/founder",12
"http://dbpedia.org/ontology/presenter",12
"http://dbpedia.org/property/associatedActs",11
"http://dbpedia.org/ontology/successor",11
"http://dbpedia.org/property/authors",11
"http://dbpedia.org/property/influences",11
"http://dbpedia.org/property/successor",10
"http://dbpedia.org/ontology/series",9
"http://www.w3.org/2000/01/rdf-schema#seeAlso",9
"http://dbpedia.org/property/founders",9
"http://dbpedia.org/property/keyPeople",9
"http://dbpedia.org/ontology/narrator",8
"http://dbpedia.org/ontology/foundedBy",8
"http://dbpedia.org/ontology/relation",8
"http://dbpedia.org/ontology/editor",8
"http://dbpedia.org/property/vpName",8
"http://dbpedia.org/property/presenter",8
"http://www.w3.org/2002/07/owl#differentFrom",7
"http://dbpedia.org/ontology/founder",7
"http://dbpedia.org/property/writers",7
"http://dbpedia.org/ontology/musicComposer",7
"http://dbpedia.org/property/executiveProducer",7
"http://dbpedia.org/property/editor",6
"http://dbpedia.org/property/lyrics",6
"http://dbpedia.org/ontology/nonFictionSubject",6
"http://dbpedia.org/property/caption",6
"http://dbpedia.org/property/title",6
"http://dbpedia.org/property/artist",6
"http://dbpedia.org/property/extra",5
"http://dbpedia.org/property/note",5
"http://dbpedia.org/ontology/basedOn",5
"http://dbpedia.org/ontology/influencedBy",5
"http://dbpedia.org/property/music",5
"http://dbpedia.org/property/guests",5
"http://dbpedia.org/property/before",4
"http://dbpedia.org/property/rtitle",4
